#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
ABC,원자의 생물의 화학의, 핵폭탄과 생물박테리아와 화학물질에 기초를 둔(무기의)'ABC (atomic, biological, and chemical) Pe026A;b026A;02D0;'s026A;02D0;; n. 알파벳; 기본, 기초
abc book,입문서
abdicate,v. 버리다, 사임하다, 양도하다, 퇴위하다; 기권하다, 포기하다
abdicated emperor,n. 상황
abdication,n. 퇴위
abdication of the throne,n. 전위
abdomen,n. (척추동물의) 배, 복부; (곤충의) 가슴의 뒷부분
abdominal,adj. 복부의
abdominal dropsy,복수
abdominous,adj. 올챙이배의
abducent,adj. 외전의
abduct,v. 유괴하다, 납치하다(특히 사람을); 외전시키다, 몸의 주축으로부터 잡아당기다(해부학)
abduction,n. 유 괴, 납치, 탈취
abductor,n. 유괴자, 외전근
abeam,adv. ... 와 직각 방향으로
abecedarian,adj. 초보의
abed,adv. 잠자리에
Abel,n. 남자 이름, 아벨
aberdevine,n. 방울새
aberrant,adj. 정도에서 벗어난; 이상한, 비정상적인
aberration,n. 정도에서 벗어남, 정신이상, 변형, 수차
abet,v. 부추기다
abetment,n. 교사
abettor,n. 교사자
abeyance,n. 중지, 미결, 일시적 연기 상태
abhor,v. 소름끼칠 정도로 싫어하다, 거부하다, 절기하다, 대기하다, 극기하다
abhorrence,n. 혐오, 질색
abhorrent,adj. 아주 질색인, 상반되는
abhorrently,adv. 혐오스럽게, 싫게
abidance,n. 지속, 거주, 준수
abide,v. 머물다; 살다, 거주하다; 지속하다; 참다; 기다리다; 복종하다, 순종하다
abide by,지키다, 복종하다
abiding,adj. 오래 지속되는; 영구적인
abidingly,adv. 계속해서, 지속적으로
abidingness,n. 참음, 견딤, 변함없슴, 지속적임
ability,n. 능력, 힘;재능, 재주
abiogenesis,n. 자연발생, 자연발생론
abject,adj. 낙심한; 비천한, 비열한
abjection,n. 비열, 비굴
abjectness,n. 비열함, 야비함, 천함, 비굴함
abjure,v. 맹세하고 버리다, 공공연하게 버리다, 영구히 버릴 것을 선서하다
ABL,미국 농구 리그, 미국의 직업농구 리그중 하나!ABL (American Basketball League)
ablation,n. 제거, 삭마
ablative case,탈격
ablaut,n. 모음 전환, 모음 교체
ablaze,adj. 불타는, 밝게 빛나는, 흥분한
able,adj. 할 수 있는, 유능한, 자격 있는
able hand,n. 일꾼
able person,n. 민완가
abloom,adj. 꽃이 피는, 개화하는
ablush,adj. 얼굴을 붉히고
ablution,n. 목욕, 몸의 세정식, 손의 세정식, 성기의 세정식, 세정식용 정수
ably,adv. 유능하게, 솜씨있게, 재능있게, 훌륭하게
abnegate,v. 끊다
abnegation,n. 거절
abnormal,adj. 비정상의
abnormality,n. 이상
abnormity,n. 이상, 기형
aboard,adv. 배로, 배에, 베이스에 나가서, 뱃전에
abode,n. 주소, 거처; 한 곳에서 장기간 체류
abolish,v. 폐지하다, 폐하다
abolishable,adj. 폐지할 수 있는, 취소할 수 있는
abolishment,n. 폐지, 무효화, 취소, 제거
abolition,n. 철폐, 폐지; 노예제도 폐지
abominable,adj. 경멸스런, 혐오스러운; 끔찍한; 굴욕적인
abominably,adv. 혐오스럽게; 끔찍하게; 망신스럽게
abominate,v. 싫어하다, 혐오하다, 증오하다
abomination,n. 질색, 혐오스러움; 가증스런 행동, 추행
aboriginal,adj. 원생의, 최초부터, 토착민의
aborigine,n. 원주민
abort,v. 유산하다, 낙대하다, 발육하지 않다, 주춤하다, 중지하다
aborted,adj. 유산된, 발육 부전의
aborter,n. 낙태시킨 사람, 유산한 사람
abortion,n. 유산, 발육 정지; 실패
abortional,adj. 낙태의, 유산의; 발육부전의, 실패의, 성공하지 못한
abortionist,n. 낙대 시술자
abortive,adj. 실패의, 결실없는; 완전히 성장하지 못한; 낙태를 촉진시키는(의학)
abortively,adv. 유산
abound,v. 많이 있다, 풍부하다; 가득차 있다; 넘치다
abounding in water,물에 빠져 죽은
about,adv. 대략, 약; 근처에; prep. ... 에 대하여, ... 의 대하여, ... 의 여기저기에
about face,뒤로 돌다
about sledge,큰 마치
about turn,주의를 일변하다, 태도를 일변하다
above,adv. ... 을 넘어; ...보다; 이미 언급된; prep. ...위에; ...보다 높은;...보다 많은; n. 상기한 것, 상기한 일
above average,기준보다 높은
above board,드러난, 공개된
above ground,지상에의
above mentioned,adj. 위에 말한
above the water,adv. 수면 위에
above the weather,adv. 날씨에 좌우되지 않을 정도로 높이
above water,물위에 곤란을 벗어나, 물위에 경제적 곤란을 벗어나, 수면 위에
aboveboard,adj. 분명한, 드러난; 공명 정대한
aboveground,adj. 땅위에，
abracadabra,n. 주문, 헛소리
abradant,n. 연마제, 연마분, 금강사
abrade,v. 문질로 벗겨지게 하다, 문질로 닳게 하다, 침식하다, 신경질나게 하다
Abraham,n. 아브라함, 구약에 나오는 첫번째 가장, 이삭의 아버지, 유대민족의 조상(성경); 남자 이름
Abraham Lincoln,아브라함 링컨, 미국의 16대 대통령
abranchial,adj. 아가미 없는
abranchiate,adj. 아가미 없는
abrasion,n. 찰과부, 마찰부; 마찰, 찰과, 연마
abrasion test,n. 마멸시험
abrasion testing,염증하는 것
abrasive,n. 연마제, 연마분 (금강사); adj. 문질러 닳게 하는
abrasively,adv. 거칠게, 마멸되게
abreaction,n. 해제 반응, 해방 반응, 정화 반응, 정화 작용
abreast,adv. 나란히, 옆으로 나란히
abridge,v. 요약하다, 단축하다
abridged,adj. 줄여진, 축약된
abridgement,n. 축소, 요약; 어떤 것을 줄인것; 삭제
abridgment,n. 요약본, 축소
abroad,adv. 국외로, 국외에, 해외로, 해외에;집 밖으로; 널리, 본거지 외에서
abrogate,v. 공식적으로 취소하다, 무효로 하다; 폐기하다
abrogation,n. 폐기
abrogative,adj. 폐지하는, 철폐하는
abrupt,adj. 뜻밖의; 갑작기 끝나거나 변하는; 거친; 단열된; 험준한, 경사진
abruption,n. 중단, 분리
abruptly,adv. 갑자기
abruptness,n. 갑작스러움, 돌발적임; 분열, 연속성의 결여; 퉁명스러움
abscess,n. 농양 (병리학)
abscissa,n. 횡좌표
abscission,n. 절단, 이탈, 돈단법
abscond,v. 도망하다
absence,n. 부재, 결석
absence of mind,얼빠짐, 제정신이 아님, 정신없슴
absence without leave,무단 결석
absent,v. 결석하다, 결근하다; adj. 부재의, 출타중인, 결석의, 결근의, 없는, 결여된; 방심한, 멍한
absent mindedness,제정신이 아닌, 정신이 없는
absent oneself,... 이 없는 사이에
absent without leave,무단 결근한 , 무단 결석한
absent-mindedly,미치게
absentee,n. 불참자, 부재자
absentee ballot,부재자 투표 용지
absenteeism,n. 무단결석, 무단결근; 반복적인 불참 또는 부재
absently,adv. 멍하니, 우두커니, 넋없이
absentminded,adj. 혼동스러운, 정신없는
absentmindedly,adv. 혼동스럽게, 정신없이
absentmindedness,n. 인사불성
absinth,n. 압생트, 쓴쑥
absinthe,n. 압생트, 쓴쑥
absolute,n. 절대적인 것; adj. 절대의, 무조건의; 순수한;단연 ... 한;결정적인
absolute majority,과반수, 선거에서 절반 이상의 다수표
absolute monarchy,전제국
absolute zero,절대영도=
absolutely,adv. 절대적으로;무조건적으로; 결단코
absoluteness,n. 절대
absolution,n. 면제, 사면; 면죄, 책임해제
absolutism,n. 전제주의, 절대론, 전제
absolutist,n. 절대론자, 전제정치론자
absolutistic,adj. 전제주의의, 전제주의자의
absolve,v. 면제하다; 방면하다, 풀어주다; 사면시키다, 면죄시키다
absolver,n. 면제해 주는 사람; 용서하는 사람; 책임이나 의무를 해제해 주는 사람
absorb,v. 흡수하다; 흡수 동화하다, 열중시키다
absorbable,adj. 흡수될 수 있는, 빨아들일 수 있는
absorbed,adj. 열중한; 흡수된
absorbency,n. 흡수력; 흡수할 수 있는 용량
absorbent,adj. 흡수성의
absorber,n. 흡수하는 것 또는 사람; 몰두시키는 것 또는 사람
absorbing,adj. 흡수하는; 열중케 하는
absorbingly,adv. 몰입되게; 흥미진진하게
absorptance,n. 흡수비율, 표면에 떨어진 광선의 양과 표면에 의해 흡수되어진 광선의 양에 대한 비율(물리)
absorption,n. 흡수; 병합; 몰두, 전념
absorption circuit,셔르퀴트 흡수
absorption force,n. 흡수력
absorptive,adj. 흡수하는
absorptivity,n. 흡수력
abstain,v. 피하다, 회피하다; 삼가다, 끊다
abstain from,절제하다, 금하다
abstainer,n. 절제하는 사람, 삼가는 사람
abstemious,adj. 절제하는, 검소한
abstention,n. 절제, 회피, 기권
abstergent,n. 세척제; adj. 깨끗이 하는
abstersion,n. 세정
abstinence,n. 절제, 자제, 참음
abstinent,adj. 절제하는, 자제하는
abstinently,adv. 금욕적으로
abstract,n. 개요, 적요;요약; 추상적인 것; v. 떼어내다, 분리하다; 절취하다, 훔치다; 개념화 하다, 이론화 하다; 요약하다, 간단하게 하다; adj. 추상적인, 추상파의; 실제적이지 않은, 비현실적인; 이해하기 어려운
abstract art,추상예술 작품
abstract noun,추상명사
abstracted,adj. 추상된, 멍한
abstractedly,adv. 멍하니
abstractedness,n. 추상성
abstracter,n. 요약하는 사람, 추출하는 사람
abstraction,n. 추상적 개념; 비현실적인 생각; 떼어내기, 분리하기; 방심, 열중; 추상적인 예술작품
abstractionism,n. 추상주의, 추상적 표현예술에 대한 이론
abstractionist,n. 추상주의자, 추상주의의 예술을 추구하는 사람
abstractive,adj. 추상적인, 초록의
abstractiveness,n. 추출력이 있는 것
abstractly,adv. 추상적으로, 관념적으로, 이론적으로; 멍하니, 얼빠진채
abstractness,n. 추상적임
abstruse,adj. 난해한
abstruseness,n. 현묘
absurd,adj. 불합리한; 어리석은
absurdist,n. 부조리주의자, 우주는 비합리적이고 부조리하다고 믿는 사람
absurdity,n. 부조리; 불합리; 어리석은 일
absurdly,adv. 불합리하게, 부조리하게, 어처구니없이
Abu Dhabi,아부다비, 아랍에미레이트연합국의 수도(7개의 왕국이 합쳐진 페르시아 만과 오만만에 있는 나라)
abundance,n. 풍부; 유복, 부유; (환경학) 일정한 지역에 있는 다량의 생물
abundant,adj. 풍족한
abundantly,adv. 풍요롭게, 풍부하게, 많이, 윤택하게
abusable,adj. 남용될 수 있는, 오용될 수 있는
abuse,n. 남용; 학대; 욕설, 상소리; v. 남용하다, 악용하다; 학대하다, 해치다; 욕하다, 악담하다
abuser,n. 남용하는 사람; 학대하는 사람
abusive,adj. 독설의; 학대하는
abusively,adv. 독설적으로; 해롭게
abusiveness,n. 학대함; 독설을 퍼부음, 욕하기
abut,v. 접경하다, 접하다, 기대다
abutment,n. 인접, 교대, 교각치, 인접적인
abuzz,adj. 윙윙거리고, 활기에 넘쳐
abysm,n. 심연, 심원, 끝없는 밑바닥; 측정할 수 없는 것, 헤아릴 수 없는 것; 지옥, 나락
abysmal,adj. 심연의, 심원의, 가늠할 수 없는, 끝이 없는; 끔찍한, 나락의
abysmally,adv. 깊이, 끝없이, 헤아릴 수 없이
abyss,n. 심연, 나락의 밑바닥, 가늠할 수 없는 공간; 깊이를 알 수 없는 것; 지옥, 죽음의 구렁텅이
abyssal,adj. 바닥을 알 수 없는
Abyssinia,n. 아비시니아
acacia,n. 아카시아, 캐아카시아, 아라비아고무
academia,n. 학구적 환경, 학문세계의 분위기
academic,n. 학생, 대학생, 학문적으로 배우는 사람; 학원 또는 학교 등의 교육기관의 일원, 교수; adj. 학원의, 과학적인, 예술원의; 교육받은 ; 학술적인; 이론적인
academic degree,학위, 학부과정을 마쳤을 때 대학에서 수여받는 증명서
academic year,학년, 대학 등과 같이 고등교육을 받는 해
academical,adj. 학원의, 예술원의; 교육받은 ; 학술적인; 이론적인
academically,adv. 지성적으로; 학술적으로
academicals,n. 대학의 예복과 예모
academician,n. 아카데미 회원, 학문의 전통의 존중자, 예술의 전통의 존중자, 대학인
academy,n. 중.고등학교; 학원; 학술협회 또는 학원
academy figure,몸의 그림
acanthus,n. 아칸서스, 아칸서스 잎 장식
Acapulco,n. 아카풀코, 멕시코의 항구 도시
acarpous,adj. 엶매 맺지 않는
accede,v. 동의하다, 취임하다, 가입하다, 가맹하다
accede to the ministry,v. 입각하다
accede to the throne,협정에 가입하다
accelerant,n. 촉진제
accelerate,v. 속력을 빠르게 하다, 촉진하다; 시기를 빠르게 하다
accelerated,adj. 속도가 붙은, 가속된
acceleration,n. 가속
accelerative,adj. 촉진적인, 가속적인
accelerator,n. 가속자, 촉진 신경
accent,n. 사람이나 지역의 독특한 발음양식; 단어에서의 액센트; 강조; v. 악센트를 두다; 강조하다
accented,adj. 강조된
accentual,adj. 악센트의, 음의 강약을 리듬의 기초로 삼는
accentually,adv. 강약이 있게
accentuate,v. 강조하다, 역설하다, 액센트를 주다
accentuation,n. 강조; 음의 억양법
accept,v. 받아들이다, 수리하다,수락하다; 순응하다, 인정하다
accept guarantee,v. 인수하다
accept the situation,상황을 받아들이다
accept the whole hog,v. 모조리 시인하다
acceptability,n. 수락할 수 있음, 받아들일 수 있슴
acceptable,adj. 받아들일 수 있는, 수락할 수 있는;용인할 수 있는; 견딜수 있는
acceptableness,n. 받아들 일 수 있슴, 동의할 수 있슴
acceptably,adv. 수용할 수 있게, 만족스럽게, 적당히, 받아들 일 수 있게
acceptance,n. 받아들임; 승락 ; 어떤것을 받아들이거나 믿는 상태
accepted,adj. 인정된; 승인된
accepter,n. 받아들이는 사람, 수납자
accepting,n. 받아들이는; 만족하는
acceptor,n. 수납자, 어음 인수인, 통파기
accesory muscle,n. 부근
access,n. 접근, 접근할 방법, 입수할 방법, 진입로, 액세스, 격발, 증가
accessary,n. 보조물, 종속물; 추가물, 부대장치; 공범자
accessibility,n. 접근할 수 있음; 열림, 개방
accessible,adj. 접근하기 쉬운; 얻기 쉬운; 연결되기 쉬운; 영향을 받기 쉬운
accessibleness,n. 접근력, 도달력
accessibly,adv. 접근할 수 있게; 쉽게 접근 가능하게; 다가갈 수 있게; 동하기 쉽게
accession,n. 도달, 취득, 가입, 증가, 증가물, 수납 도서, 재산 가치의 증가, 재산 가치의 자연 증가, 신규 채용, 동의
accessories,n. 부속물, 부속품, 복식품, 장신구
accessory,n. 부속물; 장식품; 공범자 (법률); adj. 보조적인, 종범의
accidence,n. 어형론, 어형 변화론, 초보
accident,n. 사고, 변, 재난; 우연
accidental,adj. 우연한, 기대하지 않은
accidental death,n. 비명
accidentally,adv. 우연히
accidentalness,n. 우연, 우발
acclaim,n. 환호; 갈채; v. 갈채하다, 환호하다; 환호하며 소리지르다
acclamation,n. 대갈채, 발성 투표
acclimate,v. 익히다, 순응시키다, 익다, 순응하다
acclimatization,n. 새 환경 순응; 새환경에의 거주
acclimatize,v. 익히다, 순응시키다, 익다, 순응하다
acclivity,n. 치받이
acclivous,adj. 치받이의
accolade,n. 명예, 표창
accommodate,v. 손님에게 친절히 하다; 잠자리를 제공하다; 적응시키다; 주다, 수여하다
accommodating,adj. 남을 돕는; 편안한; 예의바른; 융통성 있는
accommodatingly,adv. 융통성있게, 유순하게, 알맞게
accommodation,n. 숙박 설비; 주거지; 잠자리; 적응; 조절
accommodation bill,융통 어음
accommodation compromise,n. 화해
accommodation ladder,현칙 사다리
accommodations,n. 숙박시설
accompaniment,n. 부속물; 반주부; 반주
accompanist,n. 반주자
accompany,v. 동반하다, ... 을 수반하다, 반주하다, 따르게 하다; 합류하다
accompanying,adj. 따르는
accompanying one's superior,n. 배종
accomplice,n. 공범자
accomplish,v. 이루다,끝내다; 완수하다, 해내다, 달하다
accomplishable,adj. 성취할 수 있는, 수행할 수 있는
accomplished,adj. 성취된, 완료된, 완성된; 뛰어난
accomplishment,n. 성취, 성과, 달성, 성사; 예능, 특징; 교양
accord,n. 협정; 화해; 화음; v. 주다, 수여하다; 어울리다, 맞다; 증정하다
accordance,n. 적합; 조화, 부합; 일치
accordant,adj. 일치하는; 알맞는, 어울리는
accordantly,adv. 조화롭게
according,adv. ... 에 따라
according to,... 에 따라, ...하에
according to cocker,정확히 말함면
accordingly,adv. 따라서, 그에 따라서
accordion,n. 아코디언, 손으로 잡은 키보드를 연주하는 악기; 콘서티나
accordionist,n. 아코디언 연주자
accost,v. 가까이 가서 말을 걸다, 다가가서 말을 걸다(보통 적극적으로); 매춘부가 손님을 끌다
accouchement,n. 해산
accoucheur,n. 조산사
accoucheuse,n. 산파
account,n. 계산, 셈, 계정, 거래, 보고, 기술, 근거, 평가, 이익, 고객, 사설; v. 설명하다, 해명하다; 보고하다; 원인이되다; 간주하다
account book,장부
account for,설명하다, 책임을 지다
account of charges,n. 제비용 계산서
account of one's adventure,n. 모험담
account of travels,n. 기행
account statement,계산서
accountability,n. 책임
accountable,adj. 책임이 있는, 설명할 수 있는; 해명할 수 있는
accountableness,n. 설명될 수 있슴, 책임
accountancy,n. 회계, 회계직
accountant,n. 회계원, 회계관
accountant general,회계 과장
accounting,n. 회계, 회계학
accounting for,설명하다; 자세한 정보를 주다
accoutre,v. 복장을 착용시키다, 특수한 복장을 착용시키다
accredit,v. 승인하다, 증명하다, 공인하다; 인정하다; 파견하다, 임무를 주다; 자격증을 주다, 증명서을 주다, 신임장을 주다; 대사로 부터 신임장을 받다
accreditation,n. 신임장 수여, 대표단, 대사, 승인, 인가
accredited,adj. 공인된, 자격을 받은; 단련된
accredited milk,품질보증 우유
accrete,v. 늘리다, 부착하다
accretion,n. 증대, 증가, 자연증가
accrue,v. 생기다
accrued,adj. 축척된, 많이 모여진, 대량의
accumulate,v. 모으다; 모이다
accumulated,adj. 축적된, 비축된, 모여진
accumulation,n. 모으기; 축적,집적
accumulative,adj. 축적하는, 모으는
accumulatively,adv. 축적적으로, 누적적으로
accumulator,n. 축적자, 축압기
accuracy,n. 정확, 정확성
accurate,adj. 정확한, 적확한, 정밀한
accurately,adv. 정확히
accurateness,n. 정확함
accursed,adj. 저주 받은, 나쁜 운명의, 괘씸한
accursedly,adv. 죄에 몰려, 비운에 처하여, 저주스럽게
accurst,adj. 저주 받은, 저주받을
accusable,adj. 비난할 만한, 고소할 만한
accusal,n. 욕，비난
accusation,n. 고발, 비난; 죄명
accusative,n. 직접목적어, 직접목적격 (문법); adj. 대격의
accusatorial,adj. 고발자의
accusatory,adj. 고소의, 고발의, 비난하는
accuse,v. 고발하다, 고소하다, 비난하다
accuse falsely,...다고 비난하다
accused,n. 피고
accuser,n. 고발인
accusingly,adv. 비난하는，나무라는
accustom,v. 익히다, 익숙해지다
accustomed,adj. 익숙한, ...에 익숙한
accustomed to,익숙해지다
ace,n. 전문가; 챔피온; (카드놀이의) 에이스; 상대가 받을 수 없는 서브 ( 테니스); v. 높은 점수를 받다; (테니스) 되받을 수 없는 공을 치다, 서비스에이스로 득점하다
acephalous,adj. 머리가 없는
acerbate,v. 시게 하다, 쓰게 하다
acerbity,n. 쓴맛, 격렬함
acetate,n. 초산염, 아세테이트
acetic,adj. 초의
acetify,v. 초로 하다, 초산으로 하다
acetous,adj. 초의
acetylene,n. 아세틸렌
acetylene gas,adj. 아세틸렌가스의
ache,v. 지속적인 통증으로 고통받다, 쑤시다; 열망하다; n. 아픔，고통
acheless,adj. 아픔이 없는
achievable,adj. 성취될 수 있는, 달성될 수 있는
achieve,v. 이루다, 획득하다; 목적을 이루다, 달성하다
achievement,n. 성취; 성과, 공적; 작전, 사명
achiever,n. 성취자
Achilles,n. 아킬레스
Achilles heel,(그리스 신화) 치명적인 약점 (아킬레스의 이야기에서 부터 따옴)
Achilles tendon,아킬레스 건, 장딴지 근육과 연결된 발목뼈에 붙어있는 건 (해부학)
Achilles' heel,치명적인 약점(아킬레스에 대한 그리스 전설에서)
achromatic,adj. 수색성의, 비염색성의
achromatism,n. 색지움
acid,n. 산 (화학); 신맛이 나는 것; 신랄함; 환각제 엘에스디(속어); adj. 산의, 산성의(화학); 신맛의; 날카로운, 통렬한, 신랄한
acidic,adj. 산성의; 산을 형성하는
acidification,n. 산성화
acidify,v. 시게 하다, 시어지다
acidity,n. 신맛
acidulated,adj. 신맛이 나는
acidulous,adj. 새콤한
ack ack,고사포
acknowledge,v. 인정하다, 수용하다; 자백하다; 수령을 전하다
acknowledgeable,adj. 인정할 만한, 승인할 만한
acknowledged,adj. 인정받은，승인된
acknowledgement,n. 인정; 승인; 답례，사례
acknowledgment,n. 인정，승인，감사，사례
aclinic,adj. 무경각의
acme,n. 절정
acnae,n. 좌창, 여드름, 보통 얼굴에 많이 나는 뽀드락지가 특징인 피부병
acne,n. 좌창, 여드름, 보통 얼굴에 많이 나는 뽀드락지가 특징인 피부병
acock,adv. 위로 세우고
acolyte,n. 시종직, 복사, 조수, 위성
aconite,n. 백주자, 아코닛
acorn,n. 도토리
acoustic,adj. 음향의 ; 청각의; 소리의
acoustical,adj. 음향악상의; 청각의; 전자적으로　소리를　변화시키지　않은; 잡음을 줄인
acoustically,adv. 음향적으로
acoustics,n. 음향학; 극장등의 닫혀진 공간에서 전해지는 음향효과
acquaint,v. 알리다; 사람을 소개시키다; 알게하다
acquaint oneself with,알게하다, 소개하다
acquaint with,v. 알리다
acquaintance,n. 안면; 지식, 앎; 아는 사람
acquaintanceship,n. 교우관계, 친밀함, 교제
acquainted,adj. 안면이 있는, 정통한, 사귀게 된
acquest,n. 취득, 취득물
acquiesce,v. 동의하다
acquiescence,n. 소극적인 승인, 묵인; 묵종, 복종
acquiescent,adj. 순종하는, 복종하는
acquirable,adj. 얻을 수 있는, 성취할 만한
acquire,v. 얻다, 취득하다; 매입하다
acquired,adj. 획득한, 습득한; 구입된
acquired habit,나쁜 버릇이 드는 것
acquirement,n. 취득
acquirer,n. 획득자 또는 사물; 소유자; 성취자
acquisition,n. 획득; 취득, 취득물
acquisitive,adj. 탐내는, 획득하려고 하는
acquisitiveness,n. 욕심많음, 탐욕스러움, 모든 것을 가지려는 욕망
acquit,v. 무죄를 선언하다; 빚을 청산하다; 해방하다, 풀어주다, 해제하다( 빚이나 의무로 부터)
acquittal,n. 무죄 방면, 무죄 석방; 책임해제, 변제의무 해제
acquittance,n. 면제, 채무소멸 증서
acre,n. 에이커, 땅의 면적을 잴 때 사용되는 단위(4,046.86 평방미터에 달함)
acreage,n. 에이커 수, 에이커로 측정된 토지면적; 토지
acrid,adj. 토지의, 매운, 에이커되는, 가흑한
acrid smell,톡쏘는 냄새, 시큼한 냄새
acridity,n. 매움
acrimonious,adj. 통렬한
acrimony,n. 호됨
acrobat,n. 곡예사
acrobatic,adj. 곡예의
acrobatically,adv. 곡예의，　체조상，훈련적으로
acrobatics,n. 곡예, 재주넘기
acronym,n. 두문자어
acrophobia,n. 고소 공포증
Acropolis,n. 아크로폴리스, 아테네의 파르테논에 지어진 성채; n. 아크로폴리스, 고대 그리스의 언덕 꼭대기에 있는 성채
across,adv. 가로질러, 교차하여, 지름으로; prep. ...을 가로질러, ...을 가로지른 곳에, ...와 교차하여
across the border,외국으로
across the country,국가 전역에 걸쳐
across the road,길건너에
across the sea,바다 저편에
acrostic,n. 아크로스틱
acrylic,n. 아크릴 수지; 아크릴 수지가 있는 미술 물감; 아크릴 물감으로 된 그림; 아크릴 섬유; adj. 아크릴 산의(화학)
act,n. 행위, 짓, 행동; 거짓행동, 위장행위; 단막극; 연극이나 오페라의 막; 의사록, 회의의기록; v. 하다, 행하다; 연기를 하다; ...의 시늉을 하다, ...체 하다
act as,...으로 일하다, ...의 직을 맡다
act as broker,v. 중매하다
act for,v. ...의 대리를 하다
act of charity,n. 자선행위
act of violence,n. 폭력행위
act on,효험이 있다, 작용하다; 영향을 미치다
